-183.800, 80.200, 0.000,  0.000
-183.800, 78.700, 0.000,  0.025
-183.800, 78.700, 0.000,  0.092
-183.800, 78.699, 0.036,  0.159
-183.800, 78.696, 0.043,  0.226
-183.797, 78.685, 0.225,  0.293
-183.793, 78.659, 0.451,  0.360
-183.786, 78.615, 0.749,  0.427
-183.774, 78.542, 1.248,  0.494
-183.756, 78.439, 1.656,  0.561
-183.734, 78.316, 1.928,  0.628
-183.709, 78.182, 2.056,  0.695
-183.683, 78.047, 2.063,  0.762
-183.657, 77.915, 1.998,  0.829
-183.630, 77.789, 1.908,  0.896
-183.604, 77.668, 1.822,  0.963
-183.579, 77.553, 1.752,  1.030
-183.553, 77.440, 1.706,  1.097
-183.527, 77.330, 1.685,  1.164
-183.500, 77.220, 1.688,  1.231
-183.472, 77.108, 1.712,  1.298
-183.442, 76.994, 1.749,  1.365
-183.412, 76.878, 1.793,  1.432
-183.380, 76.759, 1.834,  1.499
-183.346, 76.638, 1.870,  1.566
-183.311, 76.516, 1.896,  1.633
-183.275, 76.392, 1.913,  1.700
-183.237, 76.268, 1.923,  1.767
-183.199, 76.144, 1.928,  1.834
-183.159, 76.020, 1.931,  1.901
-183.119, 75.897, 1.935,  1.968
-183.083, 75.771, 1.944,  2.035
-183.047, 75.646, 1.952,  2.102
-183.010, 75.520, 1.962,  2.169
-182.974, 75.393, 1.975,  2.236
-182.937, 75.265, 1.989,  2.303
-182.899, 75.137, 2.003,  2.370
-182.861, 75.008, 2.018,  2.437
-182.824, 74.877, 2.033,  2.504
-182.791, 74.745, 2.049,  2.571
-182.759, 74.611, 2.063,  2.638
-182.727, 74.477, 2.076,  2.705
-182.694, 74.342, 2.088,  2.772
-182.661, 74.206, 2.101,  2.839
-182.627, 74.069, 2.113,  2.906
-182.593, 73.932, 2.126,  2.973
-182.565, 73.793, 2.140,  3.040
-182.537, 73.652, 2.153,  3.107
-182.508, 73.511, 2.168,  3.174
-182.477, 73.369, 2.182,  3.241
-182.447, 73.226, 2.196,  3.308
-182.416, 73.082, 2.211,  3.375
-182.385, 72.938, 2.226,  3.442
-182.359, 72.791, 2.240,  3.509
-182.332, 72.643, 2.254,  3.576
-182.306, 72.495, 2.269,  3.643
-182.280, 72.345, 2.284,  3.710
-182.254, 72.194, 2.299,  3.777
-182.229, 72.042, 2.314,  3.844
-182.203, 71.890, 2.329,  3.911
-182.180, 71.735, 2.343,  3.978
-182.157, 71.580, 2.358,  4.045
-182.134, 71.424, 2.374,  4.112
-182.112, 71.266, 2.389,  4.179
-182.090, 71.107, 2.405,  4.246
-182.068, 70.948, 2.421,  4.313
-182.047, 70.787, 2.437,  4.380
-182.028, 70.625, 2.452,  4.447
-182.010, 70.461, 2.468,  4.514
-181.990, 70.297, 2.485,  4.581
-181.970, 70.131, 2.502,  4.648
-181.951, 69.965, 2.518,  4.715
-181.931, 69.797, 2.535,  4.782
-181.915, 69.628, 2.550,  4.849
-181.900, 69.458, 2.567,  4.916
-181.882, 69.286, 2.585,  4.983
-181.865, 69.114, 2.602,  5.050
-181.848, 68.941, 2.619,  5.117
-181.831, 68.766, 2.636,  5.184
-181.818, 68.590, 2.652,  5.251
-181.805, 68.412, 2.670,  5.318
-181.790, 68.234, 2.688,  5.385
-181.776, 68.054, 2.706,  5.452
-181.762, 67.873, 2.724,  5.519
-181.749, 67.691, 2.743,  5.586
-181.736, 67.508, 2.761,  5.653
-181.723, 67.323, 2.779,  5.720
-181.711, 67.137, 2.797,  5.787
-181.700, 66.950, 2.815,  5.854
-181.689, 66.762, 2.834,  5.921
-181.678, 66.572, 2.853,  5.988
-181.668, 66.381, 2.872,  6.055
-181.659, 66.189, 2.891,  6.122
-181.647, 65.996, 2.911,  6.189
