Column1,Column2,Column3,Column4
-181.387,41.214,5.277,12.487
-181.388,40.86,5.328,12.554
-181.414,40.503,5.38,12.621
-181.411,40.142,5.438,12.688
-181.39,39.775,5.517,12.755
-181.399,39.405,5.581,12.822
-181.39,39.03,5.639,12.889
-181.391,38.651,5.699,12.956
-181.376,38.27,5.738,13.023
-181.383,37.886,5.763,13.09
-181.407,37.501,5.789,13.157
-181.398,37.115,5.8,13.224
-181.36,36.728,5.814,13.291
-181.353,36.34,5.835,13.358
-181.381,35.95,5.861,13.425
-181.403,35.557,5.903,13.492
-181.393,35.162,5.942,13.559
-181.405,34.764,5.992,13.626
-181.404,34.361,6.054,13.693
-181.378,33.955,6.114,13.76
-181.383,33.545,6.161,13.827
-181.406,33.132,6.221,13.894
-181.397,32.716,6.258,13.961
-181.379,32.296,6.306,14.028
-181.39,31.875,6.335,14.095
-181.377,31.452,6.359,14.162
-181.378,31.026,6.394,14.229
-181.405,30.599,6.428,14.296
-181.4,30.169,6.453,14.363
-181.374,29.737,6.505,14.43
-181.381,29.301,6.545,14.497
-181.402,28.862,6.606,14.564
-181.392,28.42,6.653,14.631
-181.354,27.975,6.706,14.698
-181.346,27.525,6.755,14.765
-181.374,27.073,6.803,14.832
-181.4,26.617,6.863,14.899
-181.391,26.158,6.899,14.966
-181.373,25.696,6.948,15.033
-181.384,25.231,6.982,15.1
-181.419,24.765,7.017,15.167
-181.425,24.295,7.052,15.234
-181.398,23.824,7.09,15.301
-181.373,23.349,7.148,15.368
-181.34,22.87,7.203,15.435
-181.334,22.388,7.253,15.502
-181.354,21.902,7.303,15.569
-181.391,21.413,7.354,15.636
-181.398,20.921,7.401,15.703
-181.37,20.425,7.446,15.77
-181.366,19.927,7.497,15.837
-181.393,19.425,7.547,15.904
-181.395,18.92,7.597,15.971
-181.37,18.411,7.648,16.038
-181.368,17.899,7.7,16.105
-181.393,17.384,7.752,16.172
-181.394,16.865,7.803,16.239
-181.367,16.343,7.854,16.306
-181.34,15.817,7.915,16.373
-181.346,15.287,7.956,16.44
-181.367,14.754,8.015,16.507
-181.401,14.218,8.07,16.574
-181.405,13.678,8.117,16.641
-181.378,13.135,8.166,16.708
-181.346,12.588,8.229,16.775
-181.34,12.037,8.285,16.842
-181.359,11.482,8.341,16.909
-181.357,10.924,8.397,16.976
-181.373,10.362,8.45,17.043
-181.371,9.796,8.506,17.11
-181.343,9.227,8.562,17.177
-181.34,8.654,8.618,17.244
-181.366,8.077,8.674,17.311
-181.367,7.496,8.73,17.378
-181.352,6.912,8.799,17.445
-181.323,6.323,8.862,17.512
-181.319,5.729,8.92,17.579
-181.342,5.132,8.977,17.646
-181.37,4.531,9.043,17.713
-181.373,3.926,9.101,17.78
-181.352,3.317,9.157,17.847
-181.328,2.704,9.223,17.914
-181.334,2.087,9.271,17.981
-181.326,1.466,9.331,18.048
-181.328,0.842,9.395,18.115
-181.35,0.212,9.46,18.182
-181.349,-0.421,9.522,18.249
-181.322,-1.058,9.586,18.316
-181.318,-1.7,9.649,18.383
-181.332,-2.346,9.724,18.45
-181.319,-2.997,9.786,18.517
-181.322,-3.652,9.853,18.584
-181.315,-4.312,9.925,18.651
-181.328,-4.976,9.989,18.718
-181.323,-5.645,10.054,18.785
-181.306,-6.318,10.128,18.852
-181.314,-6.996,10.189,18.919
-181.307,-7.678,10.254,18.986
-181.309,-8.364,10.324,19.053
-181.292,-9.055,10.388,19.12
-181.293,-9.75,10.454,19.187
-181.307,-10.451,10.531,19.254
-181.295,-11.155,10.596,19.321
-181.298,-11.865,10.666,19.388
-181.291,-12.579,10.742,19.455
-181.291,-13.298,10.821,19.522
-181.31,-14.023,10.897,19.589
-181.308,-14.752,10.968,19.656
-181.293,-15.487,11.046,19.723
-181.262,-16.226,11.119,19.79
-181.256,-16.97,11.185,19.857
-181.268,-17.719,11.26,19.924
-181.284,-18.473,11.339,19.991
-181.274,-19.232,11.406,20.058
-181.247,-19.995,11.484,20.125
-181.241,-20.764,11.558,20.192
-181.249,-21.538,11.64,20.259
-181.273,-22.317,11.72,20.326
-181.273,-23.102,11.794,20.393
-181.254,-23.892,11.879,20.46
-181.23,-24.687,11.968,20.527
-181.222,-25.488,12.051,20.594
-181.236,-26.295,12.131,20.661
-181.261,-27.108,12.216,20.728
-181.263,-27.925,12.292,20.795
-181.249,-28.748,12.375,20.862
-181.23,-29.577,12.46,20.929
-181.199,-30.41,12.541,20.996
-181.191,-31.249,12.613,21.063
-181.204,-32.094,12.697,21.13
-181.224,-32.944,12.786,21.197
-181.225,-33.8,12.871,21.264
-181.212,-34.662,12.963,21.331
-181.184,-35.53,13.051,21.398
-181.177,-36.403,13.134,21.465
-181.191,-37.283,13.227,21.532
-181.211,-38.169,13.324,21.599
-181.213,-39.061,13.414,21.666
-181.191,-39.959,13.502,21.733
-181.156,-40.863,13.595,21.8
-181.144,-41.772,13.678,21.867
-181.152,-42.688,13.771,21.934
-181.168,-43.611,13.867,22.001
-181.168,-44.539,13.959,22.068
-181.182,-45.473,14.049,22.135
-181.177,-46.413,14.135,22.202
-181.153,-47.36,14.232,22.269
-181.121,-48.312,14.332,22.336
-181.108,-49.272,14.427,22.403
-181.113,-50.238,14.529,22.47
-181.124,-51.211,14.634,22.537
-181.138,-52.191,14.738,22.604
-181.139,-53.178,14.837,22.671
-181.118,-54.171,14.932,22.738
-181.084,-55.17,15.03,22.805
-181.071,-56.176,15.119,22.872
-181.08,-57.188,15.217,22.939
-181.1,-58.207,15.319,23.006
-181.101,-59.232,15.416,23.073
-181.083,-60.264,15.522,23.14
-181.055,-61.304,15.633,23.207
-181.044,-62.35,15.738,23.274
-181.05,-63.404,15.85,23.341
-181.064,-64.466,15.964,23.408
-181.062,-65.535,16.071,23.475
-181.045,-66.611,16.182,23.542
-181.019,-67.694,16.293,23.609
-181.008,-68.785,16.397,23.676
-181.013,-69.882,16.504,23.743
-181.028,-70.987,16.612,23.81
-181.026,-72.099,16.714,23.877
-181.007,-73.218,16.822,23.944
-180.976,-74.343,16.933,24.011
-180.963,-75.477,17.04,24.078
-180.971,-76.618,17.155,24.145
-180.992,-77.767,17.275,24.212
-181,-78.923,17.395,24.279
-180.993,-80.088,17.519,24.346
-180.976,-81.262,17.646,24.413
-180.951,-82.443,17.772,24.48
-180.919,-83.633,17.896,24.547
-180.88,-84.831,18.016,24.614
-180.862,-86.036,18.126,24.681
-180.857,-87.25,18.245,24.748
-180.86,-88.471,18.358,24.815
-180.87,-89.699,18.448,24.882
-180.887,-90.93,18.489,24.949
-180.911,-92.161,18.464,25.016
-180.921,-93.387,18.365,25.083
-180.915,-94.603,18.204,25.15
-180.896,-95.807,17.998,25.217
-180.866,-96.995,17.77,25.284
-180.829,-98.168,17.544,25.351
-180.785,-99.328,17.344,25.418
-180.736,-100.476,17.189,25.485
-180.712,-101.617,17.075,25.552
-180.705,-102.753,17.009,25.619
-180.705,-103.887,16.981,25.686
-180.711,-105.02,16.983,25.753
-180.721,-106.155,17.013,25.82
-180.734,-107.292,17.065,25.887
-180.75,-108.433,17.136,25.954
-180.77,-109.58,17.219,26.021
-180.793,-110.732,17.297,26.088
-180.796,-111.887,17.339,26.155
-180.778,-113.044,17.338,26.222
-180.745,-114.197,17.28,26.289
-180.713,-115.343,17.169,26.356
-180.682,-116.48,17.015,26.423
-180.649,-117.605,16.834,26.49
-180.614,-118.717,16.644,26.557
-180.597,-119.819,16.465,26.624
-180.597,-120.91,16.315,26.691
-180.608,-121.993,16.211,26.758
-180.627,-123.072,16.15,26.825
-180.65,-124.148,16.129,26.892
-180.651,-125.224,16.136,26.959
-180.631,-126.303,16.175,27.026
-180.6,-127.385,16.235,27.093
-180.56,-128.47,16.299,27.16
-180.542,-129.559,16.343,27.227
-180.545,-130.65,16.36,27.294
-180.561,-131.74,16.334,27.361
-180.556,-132.825,16.256,27.428
-180.53,-133.903,16.137,27.495
-180.501,-134.972,15.99,27.562
-180.485,-136.03,15.827,27.629
-180.481,-137.077,15.667,27.696
-180.484,-138.115,15.526,27.763
-180.49,-139.146,15.419,27.83
-180.484,-140.171,15.354,27.897
-180.467,-141.194,15.332,27.964
-180.445,-142.217,15.347,28.031
-180.433,-143.243,15.385,28.098
-180.43,-144.271,15.436,28.165
-180.419,-145.303,15.479,28.232
-180.401,-146.336,15.499,28.299
-180.39,-147.369,15.482,28.366
-180.389,-148.399,15.424,28.433
-180.378,-149.422,15.328,28.5
-180.36,-150.438,15.203,28.567
-180.36,-151.445,15.061,28.634
-180.345,-152.442,14.918,28.701
-180.342,-153.431,14.789,28.768
-180.326,-154.412,14.687,28.835
-180.292,-155.388,14.621,28.902
-180.279,-156.361,14.591,28.969
-180.286,-157.335,14.597,29.036
-180.302,-158.31,14.629,29.103
-180.297,-159.288,14.663,29.17
-180.275,-160.267,14.695,29.237
-180.243,-161.248,14.71,29.304
-180.207,-162.228,14.693,29.371
-180.189,-163.204,14.638,29.438
-180.187,-164.177,14.551,29.505
-180.192,-165.142,14.441,29.572
-180.198,-166.099,14.318,29.639
-180.191,-167.047,14.194,29.706
-180.174,-167.988,14.082,29.773
-180.174,-168.923,13.99,29.84
-180.159,-169.853,13.926,29.907
-180.126,-170.78,13.897,29.974
-180.085,-171.706,13.897,30.041
-180.066,-172.633,13.911,30.108
-180.066,-173.563,13.936,30.175
-180.073,-174.494,13.958,30.242
-180.082,-175.425,13.963,30.309
-180.075,-176.355,13.94,30.376
-180.057,-177.282,13.89,30.443
-180.022,-178.204,13.811,30.51
-180.009,-179.12,13.713,30.577
-180.015,-180.029,13.606,30.644
-180.003,-180.931,13.499,30.711
-179.974,-181.827,13.405,30.778
-179.961,-182.717,13.33,30.845
-179.96,-183.604,13.279,30.912
-179.947,-184.488,13.252,30.979
-179.924,-185.371,13.247,31.046
-179.887,-186.254,13.252,31.113
-179.871,-187.138,13.255,31.18
-179.873,-188.023,13.259,31.247
-179.882,-188.907,13.25,31.314
-179.871,-189.789,13.22,31.381
-179.847,-190.668,13.171,31.448
-179.817,-191.543,13.104,31.515
-179.774,-192.411,13.022,31.582
-179.755,-193.275,12.932,31.649
-179.754,-194.134,12.846,31.716
-179.736,-194.986,12.769,31.783
-179.7,-195.834,12.708,31.85
-179.667,-196.679,12.666,31.917
-179.615,-197.521,12.639,31.984
-179.536,-198.361,12.643,32.051
-179.433,-199.201,12.684,32.118
-179.31,-200.042,12.754,32.185
-179.168,-200.885,12.847,32.252
-179.009,-201.733,12.958,32.319
-178.833,-202.585,13.085,32.386
-178.636,-203.441,13.219,32.453
-178.419,-204.302,13.366,32.52
-178.184,-205.168,13.523,32.587
-177.932,-206.041,13.688,32.654
-177.663,-206.921,13.857,32.721
-177.379,-207.807,14.022,32.788
-177.08,-208.699,14.173,32.855
