Column1,Column2,Column3
-180.9655164,-78.20214442,17.37430317
-180.9587518,-79.24011232,17.47810217
-180.9519527,-80.27587456,17.58168062
-180.9451196,-81.30939794,17.68503522
-180.938253,-82.34064932,17.78816264
-180.9313534,-83.3695955,17.89105957
-180.9244211,-84.39620331,17.9937227
-180.9174567,-85.42043958,18.09614869
-180.9104606,-86.44227113,18.19833424
-180.9034333,-87.46166479,18.19906419
-180.8963752,-88.47858739,18.14822495
-180.8892868,-89.49300575,18.09751089
-180.8821686,-90.50488669,18.04692366
-180.875021,-91.51419704,17.99646493
-180.8678444,-92.52090363,17.94613636
-180.8606395,-93.52497327,17.89593959
-180.8534065,-94.5263728,17.8458763
-180.8454846,-95.61572442,17.79141597
-180.8375306,-96.70181583,17.73711861
-180.829545,-97.78460397,17.68298637
-180.8215284,-98.86404575,17.62902141
-180.8134815,-99.94009813,17.57522587
-180.8054048,-101.012718,17.52160191
-180.7972989,-102.0818623,17.46815169
-180.7891645,-103.147488,17.41487736
-180.781002,-104.2095521,17.36178106
-180.7728123,-105.2680113,17.30886496
-180.7645957,-106.3228227,17.25613121
-180.756353,-107.3739432,17.20358195
-180.7480848,-108.4213297,17.15121935
-180.7397915,-109.4649392,17.09904555
-180.7314739,-110.5047286,17.04706272
-180.7231325,-111.5406548,16.995273
-180.714768,-112.5726747,16.94367854
-180.7063809,-113.6007453,16.8922815
-180.6979718,-114.6248235,16.84108403
-180.6895413,-115.6448663,16.79008829
-180.6810901,-116.6608305,16.73929643
-180.6726187,-117.6726731,16.6887106
-180.6641277,-118.6803511,16.63833295
-180.6556177,-119.6838213,16.58816565
-180.6463779,-120.7661157,16.53405759
-180.6371172,-121.8433666,16.48020165
-180.6278366,-122.9155192,16.42660057
-180.6185366,-123.9825187,16.37325708
-180.6092181,-125.0443103,16.32017392
-180.5998819,-126.1008394,16.26735384
-180.5905287,-127.1520511,16.21479956
-180.5811592,-128.1978907,16.16251383
-180.5717743,-129.2383034,16.11049938
-180.5623747,-130.2732344,16.05875895
-180.5529611,-131.3026291,16.00729528
-180.5435344,-132.3264326,15.9561111
-180.5340952,-133.3445902,15.90520915
-180.5246444,-134.3570472,15.85459218
-180.5151827,-135.3637487,15.80426291
-180.5057109,-136.36464,15.75422409
-180.4955,-137.4359623,15.70066409
-180.4852791,-138.5004143,15.64744753
-180.4750494,-139.5579276,15.59457783
-180.4648116,-140.6084337,15.54205841
-180.4545667,-141.6518643,15.48989269
-180.4443158,-142.688151,15.43808409
-180.4340597,-143.7172254,15.38663603
-180.4237993,-144.739019,15.33555193
-180.4135358,-145.7534636,15.2848352
-180.4032699,-146.7604906,15.23448926
-180.3922693,-147.8311393,15.18096254
-180.3812683,-148.8931104,15.12786961
-180.3702681,-149.9463198,15.07521468
-180.3592699,-150.9906833,15.02300194
-180.3482748,-152.0261168,14.97123561
-180.3372841,-153.0525363,14.91991988
-180.3262988,-154.0698575,14.86905897
-180.3153201,-155.0779963,14.81865708
-180.3036182,-156.1431287,14.76540575
-180.2919266,-157.1976158,14.71268657
-180.2802468,-158.2413556,14.66050464
-180.2685801,-159.2742459,14.60886507
-180.256928,-160.2961847,14.55777297
-180.2452919,-161.3070699,14.50723343
-180.2329477,-162.3689096,14.45414632
-180.2206248,-163.4180332,14.40169489
-180.208325,-164.4543181,14.34988527
-180.19605,-165.4776419,14.29872356
-180.1838015,-166.4878821,14.2482159
-180.1708633,-167.5431514,14.19545689
