Column1,Column2,Column3,Column4
-181.219,50.987,4.399,12.487
-181.227,50.692,4.428,12.554
-181.236,50.396,4.457,12.621
-181.244,50.098,4.487,12.688
-181.251,49.797,4.517,12.755
-181.259,49.495,4.547,12.822
-181.266,49.191,4.577,12.889
-181.273,48.885,4.607,12.956
-181.28,48.576,4.637,13.023
-181.287,48.266,4.668,13.09
-181.294,47.953,4.699,13.157
-181.3,47.639,4.73,13.224
-181.306,47.322,4.762,13.291
-181.311,47.004,4.793,13.358
-181.317,46.683,4.825,13.425
-181.322,46.36,4.857,13.492
-181.327,46.035,4.889,13.559
-181.332,45.707,4.922,13.626
-181.337,45.378,4.954,13.693
-181.342,45.046,4.987,13.76
-181.346,44.712,5.021,13.827
-181.35,44.376,5.054,13.894
-181.354,44.038,5.087,13.961
-181.358,43.698,5.107,14.028
-181.362,43.359,5.075,14.095
-181.365,43.023,5.047,14.162
-181.367,42.687,5.041,14.229
-181.37,42.35,5.061,14.296
-181.372,42.011,5.108,14.363
-181.374,41.667,5.181,14.43
-181.376,41.317,5.275,14.497
-181.377,40.96,5.38,14.564
-181.378,40.597,5.483,14.631
-181.379,40.227,5.572,14.698
-181.38,39.852,5.64,14.765
-181.38,39.475,5.683,14.832
-181.38,39.095,5.706,14.899
-181.38,38.715,5.714,14.966
-181.38,38.334,5.712,15.033
-181.381,37.954,5.706,15.1
-181.381,37.574,5.705,15.167
-181.381,37.194,5.711,15.234
-181.381,36.812,5.73,15.301
-181.381,36.429,5.763,15.368
-181.381,36.043,5.811,15.435
-181.381,35.652,5.872,15.502
-181.381,35.258,5.941,15.569
-181.381,34.858,6.014,15.636
-181.381,34.454,6.085,15.703
-181.381,34.046,6.147,15.77
-181.381,33.634,6.199,15.837
-181.381,33.219,6.239,15.904
-181.381,32.802,6.268,15.971
-181.38,32.383,6.291,16.038
-181.38,31.963,6.311,16.105
-181.38,31.542,6.333,16.172
-181.38,31.119,6.358,16.239
-181.379,30.693,6.39,16.306
-181.379,30.266,6.43,16.373
-181.378,29.835,6.479,16.44
-181.378,29.401,6.534,16.507
-181.378,28.962,6.594,16.574
-181.377,28.52,6.656,16.641
-181.376,28.074,6.715,16.708
-181.376,27.624,6.769,16.775
-181.376,27.17,6.816,16.842
-181.375,26.714,6.856,16.909
-181.375,26.256,6.891,16.976
-181.374,25.795,6.923,17.043
-181.374,25.333,6.956,17.11
-181.373,24.867,6.992,17.177
-181.372,24.4,7.033,17.244
